CourseName,Date Issued,Institution,Skills,URL
Building a Business Presence With Facebook Marketing,"May 9, 2022",Coursera Project Network,Social Media Marketing,https://www.coursera.org/account/accomplishments/verify/QYM9EBJ8BHZT
Introduction to Google Workspace Administration,"May 8, 2022",Google Cloud,,https://www.coursera.org/account/accomplishments/verify/9UZDMBLG5TKK
Mind Control: Managing Your Mental Health During COVID-19,"May 8, 2022",University of Toronto,,https://www.coursera.org/account/accomplishments/verify/6EXVEYWHVLYE
Decentralized Finance (DeFi) Opportunities and Risks,"May 8, 2022",Duke University,Understanding smart contract risk,https://www.coursera.org/account/accomplishments/verify/83YC43NUGX4R
Decentralized Finance (DeFi) Primitives,"May 8, 2022",Duke University,Consensus mechanisms,https://www.coursera.org/account/accomplishments/verify/L6E6MDP9UNZ2
Docker Essentials & Building a Containerized Web Application,"May 8, 2022",Coursera Project Network,Docker,https://www.coursera.org/account/accomplishments/verify/9DTSKTKLS9J2
Managing Google Workspace,"May 8, 2022",Google Cloud,,https://www.coursera.org/account/accomplishments/verify/7ZJGZYVHDEA4
Planning for a Google Workspace Deployment,"May 8, 2022",Google Cloud,,https://www.coursera.org/account/accomplishments/verify/QT2H9WA7GA4A
Google Workspace Security,"May 8, 2022",Google Cloud,,https://www.coursera.org/account/accomplishments/verify/F9ERMM2KK25A
Decentralized Finance (DeFi) Deep Dive,"May 8, 2022",Duke University,Set Protocol’s tokenization method,https://www.coursera.org/account/accomplishments/verify/7DTUPL9LXXJK
Decentralized Finance (DeFi) Infrastructure,"May 8, 2022",Duke University,Cryptography,https://www.coursera.org/account/accomplishments/verify/QUPV7PSVKSK2
Google Cloud Fundamentals: Core Infrastructure,"December 20, 2020",Google Cloud,Google Compute Engine,https://www.coursera.org/account/accomplishments/verify/45GSLQ9SGRF6
Agile with Atlassian Jira,"December 23, 2020",Atlassian,Project Management,https://www.coursera.org/account/accomplishments/verify/T7RAVEL4G7ZD
Introduction to Front-end Development with ReactJS,"October 3, 2020",Coursera Project Network,Front-end Development,https://www.coursera.org/account/accomplishments/verify/XJCZ9ZZ7NZEF
Global Financial Markets and Instruments,"December 23, 2020",Rice University,Bond Valuation,https://www.coursera.org/account/accomplishments/verify/2VSS5YKSECTP
How Google does Machine Learning,"July 11, 2021",Google Cloud,Application Programming Interfaces (API),https://www.coursera.org/account/accomplishments/verify/QMDVGEMF4S49
Introduction to Docker: Build Your Own Portfolio Site,"January 5, 2021",Coursera Project Network,Docker (Software),https://www.coursera.org/account/accomplishments/verify/NZA6H9883UUL
Build Your First React Website,"October 3, 2020",Coursera Project Network,Web Development,https://www.coursera.org/account/accomplishments/verify/LNYG4Q7N23Z7
Crash Course on Python,"January 18, 2021",Google,Basic Python Data Structures,https://www.coursera.org/account/accomplishments/verify/VJSUZYB9QJYD
AWS Fundamentals: Building Serverless Applications,"September 8, 2020",Amazon Web Services,AWS Lambda,https://www.coursera.org/account/accomplishments/verify/64TWSRP9J24W
Usable Security,"December 23, 2020","University of Maryland, College Park",Cybersecurity,https://www.coursera.org/account/accomplishments/verify/NQ3RRQ89J4SC
AWS Fundamentals: Addressing Security Risk,"September 1, 2020",Amazon Web Services,aws,https://www.coursera.org/account/accomplishments/verify/X53ESPD6L8X3
AWS Fundamentals: Going Cloud-Native,"September 1, 2020",Amazon Web Services,Cloud Computing Security,https://www.coursera.org/account/accomplishments/verify/FWKC5Q83N2JN
AWS Fundamentals: Migrating to the Cloud,"August 28, 2020",Amazon Web Services,,https://www.coursera.org/account/accomplishments/verify/MNSYH9QQ8FBB
